"","score1","score2","score3","score4","mean"
"378",0,0.4,1,0,0.35
"379",0,0.1,-0.1,0.3,0.075
"380",-0.75,-0.4,-0.8,-1,-0.7375
"381",0,0.5,0.3,0.6,0.35
"382",0,0.4,1,0.4,0.45
"383",0,0.3,-0.2,-0.6,-0.125
"384",0,0.1,-0.2,0.5,0.1
"385",0,0,-0.7,-0.7,-0.35
"386",-0.25,0.3,-0.8,-0.6,-0.3375
"387",-0.5,-0.6,-0.7,-0.7,-0.625
"388",0.75,0.4,0.9,0.9,0.7375
"389",0,0,0,0,0
"390",0,0.1,1,0.9,0.5
"391",0,-0.2,-0.9,0.3,-0.2
"392",-0.25,-0.2,-0.4,-0.5,-0.3375
"393",0,0,-0.3,-0.6,-0.225
"394",0,0,-0.6,-0.6,-0.3
"395",-0.25,0,0,0,-0.0625
"396",0.5,0.7,1,1,0.8
"397",0,0,-0.3,-0.4,-0.175
"398",0,0,0,0,0
"399",-0.25,-0.4,-0.9,-0.4,-0.4875
"400",0,0.5,0.9,1,0.6
"401",0,-0.5,-0.8,0,-0.325
"402",0,0.2,-0.2,0.7,0.175
"403",0,0,-0.2,0.4,0.05
"404",0,0.5,1,0.6,0.525
"405",0,0,0,0,0
"406",0.25,0.4,1,0.8,0.6125
"407",0.25,0.4,0,0.7,0.3375
"408",0,0.3,-0.1,0.4,0.15
"409",-0.25,0.2,-0.9,-0.4,-0.3375
"410",0,0.1,0,-0.3,-0.05
"411",-0.25,-0.5,0,-0.2,-0.2375
"412",0,0,0,0,0
"413",-0.25,0,-0.4,0,-0.1625
"414",0,0,0,-0.2,-0.05
"415",-0.25,-0.6,-0.8,-0.8,-0.6125
"416",0,0,0,0,0
"417",0,0,0,0,0
"418",0,0.2,0.8,0.8,0.45
"419",0,0,0.1,0,0.025
"420",0.25,0.5,-0.6,1,0.2875
"421",0,0.4,0.8,0.8,0.5
"422",0,0,0,0,0
"423",0,-0.2,0.9,0.5,0.3
"424",0,0,0,0.4,0.1
"425",0.25,0,0,0.2,0.1125
"426",0,0.1,0,0.8,0.225
"427",-0.25,0.2,0.7,-0.6,0.0125
"428",0.25,0,-0.1,0.3,0.1125
"429",0,0.3,0.8,0.7,0.45
"430",-0.25,0.3,-0.2,-0.6,-0.1875
"431",0,0.1,-0.4,-0.4,-0.175
"432",0,0,-0.6,-0.8,-0.35
"433",0,0.2,-0.6,0.6,0.05
"434",-0.25,0.3,0,0.7,0.1875
"435",-0.25,0,-0.4,-0.6,-0.3125
"436",0,0,-0.2,0,-0.05
"437",0,-0.4,-0.5,-0.6,-0.375
"438",0,-0.6,0.2,0.7,0.075
"439",0,0,0,0,0
"440",0,0,0,0,0
"441",0,0,-0.2,0,-0.05
"442",0.25,0.3,0.5,0.7,0.4375
